course_id,course_name,category,teacher,description
C_584313,《资治通鉴》导读,历史学,MOOCCubeX,通过老师导读，同学们可深入这一经典文本内部，得以纵览千年历史，提升国学素养，体味人生智慧。
C_584329,微积分——极限理论与一元函数,应用经济学,MOOCCubeX,本课程是理工科的一门数学基础课，系统、全面地介绍了一元函数微积分学。课程既保持了数学的严谨和抽象的特点，也注意了数学概念的直观和形象的一面。
C_597208,数据挖掘：理论与算法,计算机科学与技术,MOOCCubeX,最有趣的理论+最有用的算法=不得不学的数据科学。
C_597225,大学计算机,未标注,MOOCCubeX,大学计算机课程将以计算思维为导向，以计算机原理、概念为基础，以新技术新方法为牵引，以创新思维能力培养为目标，和学习者一起了解计算机科学，学习计算技术，掌握思维方法。
C_597367,时尚化妆造型（2018秋）,未标注,MOOCCubeX,针对爱美人士讲解时尚生活、新娘和商业化妆造型基本原理及方法，使其能快速掌握现在时尚流行妆容造型的实际操作技能。
C_629514,《资治通鉴》导读,未标注,MOOCCubeX,通过老师导读，同学们可深入这一经典文本内部，得以纵览千年历史，提升国学素养，体味人生智慧。
C_655852,系列课-已结课无回顾时长,未标注,MOOCCubeX,目前数据科学和人工智能的人才缺口空前之大，人们对AI相关知识的学习需求也大大增加。 本课程主要由8次讲座以及1个转化挑战任务组成，讲座每隔一周举办一次
C_655850,系列课-开课未开始,未标注,MOOCCubeX,目前数据科学和人工智能的人才缺口空前之大，人们对AI相关知识的学习需求也大大增加。 本课程主要由8次讲座以及1个转化挑战任务组成，讲座每隔一周举办一次
C_654554,系列课-开课中,未标注,MOOCCubeX,目前数据科学和人工智能的人才缺口空前之大，人们对AI相关知识的学习需求也大大增加。 本课程主要由8次讲座以及1个转化挑战任务组成，讲座每隔一周举办一次
C_654506,系列课-开课已结束有回顾时长,未标注,MOOCCubeX,目前数据科学和人工智能的人才缺口空前之大，人们对AI相关知识的学习需求也大大增加。 本课程主要由8次讲座以及1个转化挑战任务组成，讲座每隔一周举办一次
C_629558,医学免疫学与病原生物学,未标注,MOOCCubeX,目前数据科学和人工智能的人才缺口空前之大，人们对AI相关知识的学习需求也大大增加。 本课程主要由8次讲座以及1个转化挑战任务组成，讲座每隔一周举办一次
C_629503,信息素养——学术研究的必修课（2019春）,情报与档案管理,MOOCCubeX,目前数据科学和人工智能的人才缺口空前之大，人们对AI相关知识的学习需求也大大增加。 本课程主要由8次讲座以及1个转化挑战任务组成，讲座每隔一周举办一次
C_597314,大学国文——北宋至现代文学赏析,中国语言文学,MOOCCubeX,目前数据科学和人工智能的人才缺口空前之大，人们对AI相关知识的学习需求也大大增加。 本课程主要由8次讲座以及1个转化挑战任务组成，讲座每隔一周举办一次
C_674903,不朽的艺术：走进大师与经典,艺术学,MOOCCubeX,【国家精品课】以历史为经线，中外比较为纬线，以文化解读为主导，引导修课学生欣赏和理解中西艺术史发展中最伟大的大艺术家及其不朽艺术杰作的美学特征和文化精神意蕴。
C_674910,图案审美与创作,未标注,MOOCCubeX,【国家精品课】本课程提供图案感受美、提炼美、表现美的过程体验。学习图案可以了解历史，感受时代的脉搏。您将获得艺术创作思维的拓展与适合自己的图案创作方法。
C_674912,音乐与健康,未标注,MOOCCubeX,本课程精心设计了音乐与健康、治疗、养生、音乐处方单等八个专题的内容，适合喜爱音乐和关注身心健康的人群。
C_674914,管理会计学,未标注,MOOCCubeX,本课程顺应新经济发展趋势，主要讲述了管理会计基础理论和实际运用方法，旨在为学员搭建起管理会计的基本框架体系。
C_674920,逻辑学概论,哲学,MOOCCubeX,“逻辑”是什么？大家都很熟悉却又似乎难以说清。本课程将告诉你：作为一门学科，逻辑学研究的是什么，以及它的基本思路、原则和方法。
C_674923,行政职业能力提升,未标注,MOOCCubeX,《行政职业能力提升》课程是为广大学生和在职工作人员进行行政职业能力培养与训练的课程。通过学习，学员可以提升未来行政职场上的竞争力，打造行政精神、提升行政气质、强化沟通能力，训练行政口才，提高职业竞争力。
C_674937,中华传统文化与人生修养,未标注,MOOCCubeX,本课程将带领你走进中华传统文化的世界，从先秦开始，走过魏晋南北朝，领略唐宋元明清的精彩文化，学习儒佛道的精神，走进古人的精神世界。
C_674950,经济地理与企业兴衰,地理学,MOOCCubeX,经济地理学是一门关于人为生存而抗争的地理学。它是现代地理学的重要分支，主要探讨企业的经济活动与地理和环境之间的复杂动态关系。
C_674959,《道德经》的智慧启示,未标注,MOOCCubeX,本课程运用《易经》的原理，从历史与现实、理论和实际来阐释《道德经》所蕴含的101种人生智慧。学习本课，得道多助，失道寡助，惟道是从，道者无敌。
C_674962,《红楼梦》的空间艺术,中国语言文学,MOOCCubeX,翻转红楼看世界，一夜知晓古今中外视觉文化的建筑艺术与嗅觉文化的香气空间，培养跨界比较的创新思维。不学你就亏大了哟！
C_674968,巴蜀文化,中国语言文学,MOOCCubeX,巴蜀文化是中华文明绽放于西南大地的灿烂之花。本课程将从考古、历史、文学、宗教、哲学、艺术、地理、风俗、人物等方面引领你走入一个五彩斑斓的巴蜀文化世界。
C_674971,宝玉石鉴赏,未标注,MOOCCubeX,【国家精品课】宝玉石，既是自然美的精华，也是财富身份的象征。《宝玉石鉴赏》让你了解宝石的自然属性和历史文化，带你进入宝石的奇妙世界。
C_676642,创办新企业,工商管理,MOOCCubeX,"《创办新企业》课程由清华科技园和清华大学经济管理学院联合开设，是国家首批精品在线开放课程；获2017年全国高等学校创新创业教育“精彩一课”（视频公开课）。
"
C_676648,创业101：你的客户是谁？,未标注,MOOCCubeX,在你的创业旅途中，你会发现：创业中最重要的资源是客户。赶快加入MIT《创业101》课程，成为这个社区的一员吧！
C_676649,儒家修身之道,中国语言文学,MOOCCubeX,儒家使中国人理性早启，塑造了我们的情感方式，医治我们的心灵伤痛。儒学是真正的知识，就像三三得九，修身之道是基础。
C_676651,创业102：你能为客户做什么？,未标注,MOOCCubeX,你可以为你的客户做些什么？
C_676656,创业启程,未标注,MOOCCubeX,企业家讲授，教授点评，案例与理论结合，帮你打开通往创业的大门，让你掌握并学会运用机会识别等创业理论，感受冒险进取、坚持不懈的创业精神的魅力。
C_676658,党的十九大精神概论,军队政治工作学,MOOCCubeX,该课程是冯务中老师2015年开设的国家精品在线开放课程《毛泽东思想和中国特色社会主义理论体系概论》的配套课程，通过纵横比较、史论结合、宏微并重，系统解读十九大精神。
C_676659,审美的历程,哲学,MOOCCubeX,"       本课程是首次以艺术为载体，以历史唯物主义为指南，全面揭示人类文明进化是一个由新的社会形态对旧的社会形态的不断扬弃过程，这是《审美的历程》中极其重要的历史表述。
        在对人类不同社会形态审美观的形成、发展和演变规律进行唯物史观的解读和批判中，展开了一幅真善美与假丑恶那惊心动魄的历史画卷，这是《审美的历程》中最精彩的思想内涵。
       相信，《审美的历程》的学习过程，必是历史新思维的形成过程。"
C_676661,创意 Creativity,未标注,MOOCCubeX,我們團隊的心理學家，文學家和藝術家將引導你走一段極具挑戰性但充滿趣味性的學習旅程。本課程會令你耳目一新，將平凡的你轉化為非凡的你。
C_676662,生活、艺术与时尚：中国服饰七千年,艺术学,MOOCCubeX,【国家精品课】本课程为国家精品课入选课程“中国服装史”，详细诠释中国服饰艺术特征、发展脉络、时尚变迁和文化内涵，图解中国服饰式样结构与工艺特点，举例中国风时装设计，分析中国元素时装创新设计途径。
C_676664,大国航母与舰载机,未标注,MOOCCubeX,本课程将带您走进大国航母与舰载机的世界，为您揭开世界各国现役航母神秘的面纱！
C_676681,婚恋·职场·人格,未标注,MOOCCubeX,“世界上最难的道路，就是通往自己的道路”。本课程把人格、婚恋与职场三者结合，以人格为基石，阐述不同人格类型的婚恋和职场特点。本门课程是武汉理工大学著名的“网红”课程，因其学术性、实用性和趣味性兼备，深受学生的喜爱和追捧。
C_676682,文科物理学——生活中的物理,未标注,MOOCCubeX,你不会领会到周围世界奥秘所在，除非你懂得自然界的规律！本课程将带你一起探索丰富多彩的物理世界，展示自然界中万事万物如何巧妙、完美地联系在一起。
